datetime, Max, Min, Average
11/04/2016 02, 23.7000007629, 13.8000001907, 18.816667079916666, 
11/04/2016 03, 23.2999992371, 13.1999998093, 17.0500000318, 
11/04/2016 04, 27, 19.2000007629, 23.533333460483334, 
11/04/2016 05, 54.4000015259, 28.6000003815, 42.70000044506667, 
11/04/2016 06, 429.700012207, 72.9000015259, 144.85000356039998, 
11/04/2016 07, 97.9000015259, 57.4000015259, 78.81666819256667, 
11/04/2016 08, 75.5999984741, 70.8000030518, 72.81666692098334, 
11/04/2016 09, 81.9000015259, 63.2000007629, 71.14999961851667, 
11/04/2016 10, 56.5999984741, 34.9000015259, 45.716667175283334, 
11/04/2016 11, 37.2000007629, 25.8999996185, 32.48333358763333, 
11/04/2016 12, 26.7999992371, 17, 23.933333079033332, 
11/04/2016 13, 27.8999996185, 17.3999996185, 23.06666660306667, 
11/04/2016 14, 22.2999992371, 15.8000001907, 18.649999777483334, 
11/04/2016 15, 19.8999996185, 13.6999998093, 17.4833334287, 
11/04/2016 16, 26.5, 19.5, 22.399999618533332, 
11/04/2016 17, 52.2000007629, 31.6000003815, 39.983333905533335, 
11/04/2016 18, 97.1999969482, 46.9000015259, 64.73333295185, 
11/04/2016 19, 81.1999969482, 66.0999984741, 73.78333155311667, 
11/04/2016 20, 73.1999969482, 41.7999992371, 55.566665649399994, 
11/04/2016 21, 67.4000015259, 36.5999984741, 48.333333333333336, 
11/04/2016 22, 50, 32.9000015259, 42.01666704815, 
11/04/2016 23, 50.7000007629, 40.7000007629, 44.833333969116666, 
11/05/2016 00, 42.2000007629, 28.3999996185, 33.03333314258334, 
11/05/2016 01, 39.4000015259, 29.3999996185, 34.449999809266664, 
11/05/2016 02, 44.0999984741, 24.6000003815, 37.2499996821, 
11/05/2016 03, 31.8999996185, 22.5, 27.399999936400004, 
11/05/2016 04, 44.5, 32.9000015259, 37.266667048133336, 
11/05/2016 05, 58.2999992371, 41.7999992371, 47.56666628521666, 
11/05/2016 06, 124, 62.2000007629, 88.43333244325, 
11/05/2016 07, 85.9000015259, 55.5999984741, 71.18333307901666, 
11/05/2016 08, 76.5999984741, 63.9000015259, 70.06666692098334, 
11/05/2016 09, 99.0999984741, 68.0999984741, 82.25, 
11/05/2016 10, 60.0999984741, 50.4000015259, 55.56666692098333, 
11/05/2016 11, 42.2999992371, 16.7000007629, 27.3166662852, 
11/05/2016 12, 17.7999992371, 10.5, 14.583333333316668, 
