datetime, Max, Min, Average
01/03/2017 12, 74.9000015259, 43.2000007629, 54.963333320623335, 
01/03/2017 13, 61.2000007629, 25.2000007629, 38.63333301543665, 
01/03/2017 14, 61.5, 14.8000001907, 28.999999793369998, 
01/03/2017 15, 96.0999984741, 20.7999992371, 29.076666545865013, 
01/03/2017 16, 49.7999992371, 18.8999996185, 27.48666661580834, 
01/03/2017 17, 158.800003052, 50.2999992371, 94.39333273567334, 
01/03/2017 18, 311.100006104, 98.3000030518, 135.30000063582835, 
01/03/2017 19, 173.899993896, 97.1999969482, 109.61833292639666, 
01/03/2017 20, 126.699996948, 79.4000015259, 96.24666659035499, 
01/03/2017 21, 114.199996948, 64.8000030518, 87.29166653950331, 
01/03/2017 22, 94.3000030518, 68.8000030518, 80.17333335876499, 
01/03/2017 23, 74.5999984741, 59.7000007629, 64.81999988554831, 
01/04/2017 00, 131.899993896, 70.1999969482, 97.27166595456, 
01/04/2017 01, 103.5, 84.3000030518, 90.93333333333332, 
01/04/2017 02, 87.4000015259, 52.2999992371, 63.23000011444167, 
01/04/2017 03, 77.1999969482, 63.4000015259, 68.98166631062331, 
01/04/2017 04, 68.4000015259, 56.9000015259, 63.153333091738354, 
01/04/2017 05, 72.9000015259, 50.9000015259, 57.52000007629332, 
01/04/2017 06, 134.399993896, 74.9000015259, 96.65499928789168, 
01/04/2017 07, 143.899993896, 101.300003052, 117.30666631060004, 
01/04/2017 08, 171.399993896, 121, 135.4883328755333, 
01/04/2017 09, 182.699996948, 120.5, 147.49166641233336, 
01/04/2017 10, 325.5, 86.0999984741, 105.8616666158, 
01/04/2017 11, 142.300003052, 52.5999984741, 86.48166739150003, 
01/04/2017 12, 70.9000015259, 26, 38.80833336511832, 
01/04/2017 13, 80.6999969482, 22.7000007629, 30.83333333332667, 
01/04/2017 14, 128.100006104, 19.5, 28.02833353679333, 
01/04/2017 15, 105.400001526, 19.3999996185, 26.523728871754237, 
01/04/2017 16, 128.699996948, 28.5, 61.890000120795, 
01/04/2017 17, 112.699996948, 82.0999984741, 95.83166631060999, 
01/04/2017 18, 569.299987793, 79.0999984741, 99.46666628519667, 
01/04/2017 19, 179.699996948, 84.5999984741, 123.09499918612998, 
01/04/2017 20, 175.100006104, 119.099998474, 143.86000048323336, 
01/04/2017 21, 122, 85.5, 98.68363605842913, 
01/04/2017 22, 218.399993896, 113.099998474, 131.59666722620003, 
01/04/2017 23, 168, 117.699996948, 146.38166681926668, 
01/05/2017 00, 119, 93.3000030518, 102.08666699730665, 
01/05/2017 01, 111.199996948, 88.5999984741, 97.97666600544501, 
01/05/2017 02, 99.9000015259, 73.9000015259, 84.88166656493998, 
01/05/2017 03, 76, 64.9000015259, 70.86296321727961, 
01/05/2017 04, 90.3000030518, 67.3000030518, 75.56166687011999, 
01/05/2017 05, 130.699996948, 66.9000015259, 81.50666605630167, 
01/05/2017 06, 162.199996948, 98.5, 118.68666648862832, 
01/05/2017 07, 155, 121, 135.0883330027, 
01/05/2017 08, 234.300003052, 133, 152.82666727706672, 
01/05/2017 09, 217.300003052, 146.899993896, 162.4683324177333, 
01/05/2017 10, 167.600006104, 97.6999969482, 127.38500010173998, 
01/05/2017 11, 131.699996948, 65.5999984741, 89.61666641233836, 
01/05/2017 12, 71.0999984741, 23, 48.38833347956667, 
01/05/2017 13, 69, 8.5, 14.776666641239505, 
01/05/2017 14, 93.3000030518, 15.3999996185, 46.649999968216676, 
01/05/2017 15, 76.3000030518, 31.5, 53.44166673024501, 
01/05/2017 16, 77.8000030518, 20.8999996185, 33.358333333335004, 
01/05/2017 17, 91.9000015259, 46.2999992371, 64.83166656493832, 
01/05/2017 18, 120.400001526, 67.1999969482, 82.18000005087666, 
01/05/2017 19, 129.800003052, 85.4000015259, 102.15833358766331, 
01/05/2017 20, 125.400001526, 59.7999992371, 84.48333339693663, 
01/05/2017 21, 133.399993896, 66.4000015259, 97.16333363851668, 
01/05/2017 22, 90.1999969482, 41.2999992371, 64.14833304086832, 
01/05/2017 23, 47.2000007629, 36.5, 40.313333320623336, 
01/06/2017 00, 63.7999992371, 39.0999984741, 49.5033901020644, 
01/06/2017 01, 56.2999992371, 32.4000015259, 37.900000029921564, 
01/06/2017 02, 84.8000030518, 57.2999992371, 70.41276631457451, 
01/06/2017 03, 75.5, 57.7999992371, 65.51666692098668, 
01/06/2017 04, 76.6999969482, 62.9000015259, 67.94833335876498, 
01/06/2017 05, 99.6999969482, 63.7999992371, 72.72833347320831, 
01/06/2017 06, 114.800003052, 78.3000030518, 100.27833290097666, 
01/06/2017 07, 189.5, 108.199996948, 133.98666648863335, 
01/06/2017 08, 221.100006104, 142.399993896, 154.71666666666664, 
01/06/2017 09, 175.300003052, 127.599998474, 142.70166664123334, 
01/06/2017 10, 173.100006104, 79, 110.33833312984666, 
01/06/2017 11, 85.5999984741, 45, 60.405000050860004, 
01/06/2017 12, 47.2999992371, 30.5, 38.19499994913331, 
01/06/2017 13, 143.699996948, 15.1000003815, 28.263333257038333, 
01/06/2017 14, 66.0999984741, 16.5, 25.224999872850006, 
01/06/2017 15, 105.099998474, 15.8999996185, 25.855000082643322, 
01/06/2017 16, 66.5, 32.0999984741, 47.06000029246167, 
01/06/2017 17, 128.899993896, 52.2999992371, 63.95818197076545, 
01/06/2017 18, 213.399993896, 54.2999992371, 67.70333315530334, 
01/06/2017 19, 66.6999969482, 47.5999984741, 53.80499986012834, 
01/06/2017 20, 76.0999984741, 55, 60.45333340962832, 
01/06/2017 21, 65, 40.7000007629, 49.073333295188334, 
01/06/2017 22, 63, 37, 43.471666971844996, 
01/06/2017 23, 43.7000007629, 33, 36.831666692093314, 
01/07/2017 00, 61.2999992371, 33.4000015259, 42.86999994913669, 
01/07/2017 01, 68.5999984741, 52.9000015259, 60.466666730251696, 
01/07/2017 02, 71.5999984741, 64.6999969482, 67.16833305358499, 
01/07/2017 03, 83.5999984741, 59.0999984741, 64.38474564632881, 
01/07/2017 04, 94.1999969482, 68.1999969482, 79.41166623432835, 
01/07/2017 05, 85, 66.8000030518, 74.5866667429617, 
01/07/2017 06, 102, 75.8000030518, 88.015000152595, 
01/07/2017 07, 125.900001526, 104, 116.96999994913337, 
01/07/2017 08, 269.700012207, 125, 148.42000134795, 
01/07/2017 09, 216.699996948, 129.600006104, 162.51960874078438, 
01/07/2017 10, 210.5, 95.6999969482, 144.40833269750505, 
