datetime, Max, Min, Average
01/07/2017 06, 181.199996948, 89.9000015259, 132.91333312987166, 
01/07/2017 07, 216.199996948, 128.5, 170.33833338419998, 
01/07/2017 08, 213.300003052, 165.800003052, 181.73500010173333, 
01/07/2017 09, 222.100006104, 134.399993896, 163.0319142442553, 
01/07/2017 10, 190.199996948, 73.3000030518, 115.31525459938813, 
01/07/2017 11, 96.5, 51.5999984741, 69.17500006357999, 
01/07/2017 12, 68.5999984741, 24.6000003815, 39.83000005086167, 
01/07/2017 13, 58.7999992371, 23.7000007629, 33.62166662216835, 
01/07/2017 14, 63.2999992371, 30.1000003815, 39.02833309173166, 
01/07/2017 15, 81.6999969482, 40.5, 56.68666636148334, 
01/07/2017 16, 90.8000030518, 34.0999984741, 52.61166655222668, 
01/07/2017 17, 115.599998474, 60.9000015259, 75.05499986012667, 
01/07/2017 18, 162.600006104, 84, 133.29361627450857, 
01/07/2017 19, 236.899993896, 131.600006104, 168.96111128066664, 
01/07/2017 20, 226.800003052, 129.100006104, 151.51999944046665, 
01/07/2017 21, 216.699996948, 135.699996948, 165.7716669718666, 
01/07/2017 22, 179, 123.300003052, 155.11833318073332, 
01/07/2017 23, 125.300003052, 82.3000030518, 96.10166702271498, 
01/08/2017 00, 129.600006104, 89.5999984741, 106.115000152605, 
01/08/2017 01, 108.800003052, 80.1999969482, 91.76666641234668, 
01/08/2017 02, 116, 84.0999984741, 93.031666692085, 
01/08/2017 03, 102.5, 74.6999969482, 85.84833323160665, 
01/08/2017 04, 97.5999984741, 77.5999984741, 88.73833300272167, 
01/08/2017 05, 111.5, 64.5, 79.48999989827999, 
01/08/2017 06, 227.899993896, 107, 169.43499933873332, 
01/08/2017 07, 236.199996948, 139.399993896, 174.8783332824667, 
01/08/2017 08, 247.5, 115, 164.31499926243336, 
01/08/2017 09, 616.700012207, 105.5, 166.10833333331666, 
01/08/2017 10, 179.600006104, 95.8000030518, 109.13666699730167, 
01/08/2017 11, 135.800003052, 87.3000030518, 97.28333333334164, 
01/08/2017 12, 102.800003052, 34.2000007629, 62.440000279755004, 
01/08/2017 13, 103.5, 29.3999996185, 39.34500004450667, 
01/08/2017 14, 68.9000015259, 26.2999992371, 35.219999917345, 
01/08/2017 15, 55.2999992371, 29.3999996185, 36.43589714246411, 
01/08/2017 16, 89.0999984741, 30.7999992371, 39.66000006993667, 
01/08/2017 17, 65.9000015259, 44, 54.555000050871676, 
01/08/2017 18, 85.6999969482, 56.5999984741, 64.51666673024002, 
01/08/2017 19, 133.899993896, 64.4000015259, 91.52333361309333, 
01/08/2017 20, 1135.90002441, 114.400001526, 163.72499949124997, 
01/08/2017 21, 204, 160.199996948, 183.04999974566672, 
01/08/2017 22, 280, 92, 122.92833315531003, 
01/08/2017 23, 93.9000015259, 70.3000030518, 84.3649996439567, 
01/09/2017 00, 119.099998474, 81.6999969482, 90.95750007628997, 
01/09/2017 01, 223.399993896, 83.8000030518, 98.11833343506996, 
01/09/2017 02, 96.3000030518, 73, 81.45833396912502, 
01/09/2017 03, 96.6999969482, 75.8000030518, 87.68833300272169, 
01/09/2017 04, 107.099998474, 86, 93.62166659036339, 
01/09/2017 05, 138.699996948, 102.099998474, 119.82166659036668, 
01/09/2017 06, 193.399993896, 118.5, 139.22833264663328, 
01/09/2017 07, 209.899993896, 169.600006104, 189.0199991861333, 
01/09/2017 08, 233.199996948, 176, 193.63333358766667, 
01/09/2017 09, 369.600006104, 182.5, 205.5333335876666, 
01/09/2017 10, 214.199996948, 128, 158.88333282466664, 
01/09/2017 11, 147.800003052, 90.3000030518, 107.85666669208833, 
01/09/2017 12, 129.300003052, 43.5999984741, 76.5400002161733, 
01/09/2017 13, 79, 30.5, 38.53999986648669, 
01/09/2017 14, 110.099998474, 32, 39.58500003813833, 
01/09/2017 15, 83.3000030518, 35.9000015259, 45.97999992370501, 
01/09/2017 16, 60.5999984741, 37.5, 44.89166647593166, 
01/09/2017 17, 82.4000015259, 45.5, 57.675000445053335, 
01/09/2017 18, 2912.89990234, 51.7999992371, 129.44727110421815, 
01/09/2017 19, 335.799987793, 109.900001526, 191.26166585283332, 
01/09/2017 20, 284.899993896, 223.899993896, 249.64666620888332, 
01/09/2017 21, 311, 185.199996948, 216.36499989826672, 
01/09/2017 22, 237.699996948, 182.600006104, 197.6883729447442, 
01/09/2017 23, 192.199996948, 128.199996948, 153.5599998474, 
01/10/2017 00, 255.600006104, 86.3000030518, 118.48166720076328, 
01/10/2017 01, 144.300003052, 63.2000007629, 76.67543852956842, 
01/10/2017 02, 162.300003052, 78.3000030518, 96.03833312987499, 
01/10/2017 03, 201, 78.5, 90.98499933877332, 
01/10/2017 04, 116.099998474, 85.9000015259, 96.05499992370332, 
01/10/2017 05, 129.600006104, 94.5, 107.07543851615964, 
01/10/2017 06, 204.100006104, 105, 140.4583335876667, 
01/10/2017 07, 426.799987793, 115.099998474, 144.35666592911664, 
01/10/2017 08, 191.199996948, 116.900001526, 170.18000081386666, 
01/10/2017 09, 205.199996948, 126, 143.75833511366665, 
