datetime, Max, Min, Average
01/03/2017 10, 82.5, 64.8000030518, 71.94000002543164, 
01/03/2017 11, 64.5999984741, 48.0999984741, 53.50499992370332, 
01/03/2017 12, 53.2000007629, 36.2999992371, 44.69500007628832, 
01/03/2017 13, 35.9000015259, 18.7999992371, 30.37833353677665, 
01/03/2017 14, 37.0999984741, 13.1999998093, 18.65500001906667, 
01/03/2017 15, 32.9000015259, 15.8999996185, 19.036666711166667, 
01/03/2017 16, 31.1000003815, 14.6999998093, 18.87000001271667, 
01/03/2017 17, 72.9000015259, 31.8999996185, 54.13166666030668, 
01/03/2017 18, 131.899993896, 56.0999984741, 76.92999992370333, 
01/03/2017 19, 84.5999984741, 72.3000030518, 78.65999972025166, 
01/03/2017 20, 91.0999984741, 63.7999992371, 73.90666637420334, 
01/03/2017 21, 88.0999984741, 52.9000015259, 70.033333206175, 
01/03/2017 22, 76.1999969482, 56.7999992371, 65.67499974568668, 
01/03/2017 23, 62.5, 51.7999992371, 55.22000007629334, 
01/04/2017 00, 105.900001526, 59.7999992371, 84.85000031789669, 
01/04/2017 01, 90.0999984741, 73.6999969482, 80.24166666666666, 
01/04/2017 02, 75.8000030518, 47.5, 55.916666984554986, 
01/04/2017 03, 65.3000030518, 56.0999984741, 60.74833348591998, 
01/04/2017 04, 61.7000007629, 51.5, 56.84666652679501, 
01/04/2017 05, 65.6999969482, 44.7999992371, 51.15499998728832, 
01/04/2017 06, 106.099998474, 67, 85.90833320617334, 
01/04/2017 07, 129.600006104, 92, 105.04833323160003, 
01/04/2017 08, 141.5, 111.400001526, 120.97833366396665, 
01/04/2017 09, 147, 108.699996948, 130.61166648863335, 
01/04/2017 10, 106.400001526, 79.3000030518, 88.43666661580998, 
01/04/2017 11, 96.5999984741, 47.7999992371, 73.35499998728498, 
01/04/2017 12, 51.4000015259, 23.2000007629, 33.20333318709832, 
01/04/2017 13, 43.7000007629, 18.5, 22.048333390556667, 
01/04/2017 14, 32.0999984741, 16.6000003815, 20.911666647590003, 
01/04/2017 15, 67.1999969482, 16.8999996185, 19.57288131067457, 
01/04/2017 16, 74.3000030518, 19.7000007629, 41.26333303451333, 
01/04/2017 17, 75.8000030518, 59.7000007629, 65.46000010173167, 
01/04/2017 18, 326.600006104, 56.5999984741, 66.46333325704666, 
01/04/2017 19, 122.199996948, 61.5999984741, 95.91833305356666, 
01/04/2017 20, 137.899993896, 104.400001526, 120.46666679383335, 
01/04/2017 21, 105.300003052, 76.5, 85.92909088134908, 
01/04/2017 22, 124.699996948, 97, 112.90833320616498, 
01/04/2017 23, 144.5, 103.699996948, 129.6866668701333, 
01/05/2017 00, 110.199996948, 85.5, 92.23333320617003, 
01/05/2017 01, 99.8000030518, 81.9000015259, 89.17666638691836, 
01/05/2017 02, 87.5, 68.9000015259, 77.34499969481998, 
01/05/2017 03, 69.8000030518, 61.0999984741, 65.46346165583844, 
01/05/2017 04, 76.5, 62.4000015259, 68.44666697184667, 
01/05/2017 05, 105.099998474, 62.2000007629, 73.53000030518001, 
01/05/2017 06, 135.5, 89.4000015259, 104.72333323160167, 
01/05/2017 07, 128.100006104, 107.300003052, 117.54166679383337, 
01/05/2017 08, 144.800003052, 118.400001526, 132.13166720076666, 
01/05/2017 09, 149.100006104, 129.300003052, 139.43333358766668, 
01/05/2017 10, 130.699996948, 84.9000015259, 103.63666661579832, 
01/05/2017 11, 85.5999984741, 56.7999992371, 73.46833330790166, 
01/05/2017 12, 56.5999984741, 19.2999992371, 40.28500010172332, 
01/05/2017 13, 43.5, 8, 11.583333333331499, 
01/05/2017 14, 35.7000007629, 11, 27.223333470026667, 
01/05/2017 15, 47.5, 22.2000007629, 34.998333231601656, 
01/05/2017 16, 34.5, 16, 21.30166670481334, 
01/05/2017 17, 66.3000030518, 35, 47.32333323160833, 
01/05/2017 18, 96.4000015259, 45.4000015259, 56.819999758406674, 
01/05/2017 19, 98.9000015259, 67.4000015259, 80.83333257038335, 
01/05/2017 20, 102.5, 52.7999992371, 69.65166670481331, 
01/05/2017 21, 99.5, 57.4000015259, 82.001666895555, 
01/05/2017 22, 75.9000015259, 37.4000015259, 54.55333366394834, 
01/05/2017 23, 41.7999992371, 33.5, 36.03500010173168, 
01/06/2017 00, 56.5, 36.5999984741, 44.349152387188134, 
01/06/2017 01, 54.4000015259, 30.8999996185, 35.75686275257844, 
01/06/2017 02, 80, 56.2000007629, 67.70434769339782, 
01/06/2017 03, 69.6999969482, 54.2000007629, 60.95833346049334, 
01/06/2017 04, 71.0999984741, 58.7999992371, 62.90333360036331, 
01/06/2017 05, 90.1999969482, 59.4000015259, 66.28000005086001, 
01/06/2017 06, 96.0999984741, 71.1999969482, 87.15999984741, 
01/06/2017 07, 152.199996948, 94.1999969482, 114.57666651406335, 
01/06/2017 08, 167.800003052, 126.800003052, 134.20333442696673, 
